NUM_VIAJE,CIUDAD_ORIGEN,CIUDAD_DESTINO,NUM_SILLA,HORA_SALIDA
1000,Barranquilla,Cali,1,0023
1001,Cartagena,Cali,2,2234
1002,Barranquilla,Cartagena,3,0915
1003,Cartagena,Cali,4,2021
1004,Cartagena,Barranquilla,5,0919
1005,Bogotá,Cartagena,6,2008
1006,Bogotá,Cartagena,7,0359
1007,Cali,Cali,8,1503
1008,Barranquilla,Bogotá,9,0358
1009,Cartagena,Medellin,10,1125
1010,Cartagena,Barranquilla,11,2116
1011,Cali,Cali,12,1916
1012,Cartagena,Cartagena,13,0542
1013,Cartagena,Cartagena,14,1455
1014,Medellin,Medellin,15,1751
1015,Medellin,Bogotá,16,1429
1016,Cali,Cartagena,17,2151
1017,Cartagena,Medellin,18,1603
1018,Cali,Bogotá,19,1131
1019,Bogotá,Barranquilla,20,0741
1020,Barranquilla,Barranquilla,1,1620
1021,Barranquilla,Barranquilla,2,0126
1022,Bogotá,Cartagena,3,1825
1023,Cali,Cartagena,4,2232
1024,Cartagena,Cali,5,0952
1025,Cartagena,Bogotá,6,2224
1026,Cali,Barranquilla,7,1922
1027,Bogotá,Cartagena,8,2238
1028,Medellin,Bogotá,9,2252
1029,Barranquilla,Medellin,10,2352
1030,Bogotá,Bogotá,11,1600
1031,Cali,Bogotá,12,0431
1032,Bogotá,Cali,13,1944
1033,Medellin,Barranquilla,14,1921
1034,Bogotá,Cali,15,2254
1035,Barranquilla,Barranquilla,16,2306
1036,Medellin,Barranquilla,17,1623
1037,Medellin,Cartagena,18,0042
1038,Bogotá,Cartagena,19,0918
1039,Medellin,Barranquilla,20,2203
1040,Cartagena,Cartagena,1,0212
1041,Barranquilla,Barranquilla,2,1704
1042,Cartagena,Cali,3,0124
1043,Cali,Barranquilla,4,2132
1044,Bogotá,Medellin,5,0338
1045,Medellin,Cartagena,6,2005
1046,Cartagena,Cali,7,1929
1047,Barranquilla,Bogotá,8,1156
1048,Cartagena,Cartagena,9,1158
1049,Cartagena,Bogotá,10,0324
1050,Cartagena,Cartagena,11,0227
1051,Cartagena,Medellin,12,1251
1052,Medellin,Barranquilla,13,2324
1053,Cartagena,Barranquilla,14,0245
1054,Cartagena,Barranquilla,15,0511
1055,Cali,Medellin,16,2323
1056,Cali,Cartagena,17,1618
1057,Cartagena,Bogotá,18,0928
1058,Cali,Cartagena,19,0036
1059,Barranquilla,Bogotá,20,1708
1060,Cali,Cartagena,1,0146
